"Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡"
"Intel® Core™ i5-12600K Processor,Q4'21,10,4.90 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12600KF Processor,Q4'21,10,4.90 GHz,20 MB Intel® Smart Cache,"
"Intel® Core™ i7-12700K Processor,Q4'21,12,5.00 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12700KF Processor,Q4'21,12,5.00 GHz,25 MB Intel® Smart Cache,"
"Intel® Core™ i9-12900K Processor,Q4'21,16,5.20 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-12900KF Processor,Q4'21,16,5.20 GHz,30 MB Intel® Smart Cache,"
"Intel® Core™ i3-11100HE Processor,Q3'21,4,4.40 GHz,8 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i5-11500HE Processor,Q3'21,6,4.50 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i7-11850HE Processor,Q3'21,8,4.70 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i7-11600H Processor,Q3'21,6,4.60 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i5-11320H Processor,Q2'21,4,4.50 GHz,8 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-11390H Processor,Q2'21,4,5.00 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1155G7 Processor,Q2'21,4,4.50 GHz,8 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1155G7 Processor,Q2'21,4,4.50 GHz,8 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1195G7 Processor,Q2'21,4,5.00 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1195G7 Processor,Q2'21,4,5.00 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-11260H Processor,Q2'21,6,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i5-11400H Processor,Q2'21,6,4.50 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i5-11500H Processor,Q2'21,6,4.60 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i7-11800H Processor,Q2'21,8,4.60 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i7-11850H Processor,Q2'21,8,4.80 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i9-11900H Processor,Q2'21,8,4.90 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i9-11950H Processor,Q2'21,8,5.00 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i9-11980HK Processor,Q2'21,8,5.00 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 11th Gen Intel® Processors"
"Intel® Core™ i3-10105 Processor,Q1'21,4,4.40 GHz,6 MB Intel® Smart Cache,Intel® UHD Graphics 630"
"Intel® Core™ i3-10105F Processor,Q1'21,4,4.40 GHz,6 MB Intel® Smart Cache,"
"Intel® Core™ i3-10105T Processor,Q1'21,4,3.90 GHz,6 MB Intel® Smart Cache,Intel® UHD Graphics 630"
"Intel® Core™ i3-10305 Processor,Q1'21,4,4.50 GHz,8 MB Intel® Smart Cache,Intel® UHD Graphics 630"
"Intel® Core™ i3-10305T Processor,Q1'21,4,4.00 GHz,8 MB Intel® Smart Cache,Intel® UHD Graphics 630"
